"候选写法","提及评论数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","语义判定依据","最高点赞数","召回方式","召回级别","证据BV号","证据评论ID","证据摘录","处理建议"
"有人说半成品","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245887545408","有人说半成品好吃健康就行的，就像去咖啡店他给你泡雀巢速溶一样，你花钱买的是厨师做这道菜的手法和功夫，不是什么好吃就行了的预制菜","优先平台检索"
"有人说菜猪油的玉兰饼","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV14M4y187sh","166734406384","有人说菜猪油的玉兰饼好吃，真的，外地人买一个尝尝先，还是吃鲜肉馅的玉兰饼为主，菜猪油的可能会吃不惯，是甜猪油加青菜（什么菜我分不清），口味其实不猎奇，还行，但是腻，外地人大多可能吃不惯，我就是[笑哭]","优先平台检索"
"有啥","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195750181744","我从小不吃糖不吃零食不吃任何饼干。老人都留给我们吃，我都很疑惑，有啥好吃的。","优先平台检索"
"有啥其他","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296874970608","有啥其他好吃的吗，来无锡看樱花旅游了","优先平台检索"
"有时候微甜的口感真的很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196917605072","苏州没那么甜我们只是喜欢微甜口啊啊啊啊啊啊啊啊啊。有时候微甜的口感真的很好吃的！","优先平台检索"
"有汤头的更","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130241885024","回复：不……阳春面和阳春面不一样的，有汤头的更好吃","优先平台检索"
"有熙盛源","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286244854881","有熙盛源好吃吗","优先平台检索"
"有些苍蝇馆真的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","247550662337","这价位真的可以，有些苍蝇馆真的好吃","优先平台检索"
"有些小馆也挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","254500834960","有些小馆也挺好吃","优先平台检索"
"有野食","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","4","词典命中","A-词典命中","BV1e314YJEFA","245705825136","来无锡啦，强烈强烈强烈推荐一下小馆子《有野食》做粤菜的一个苍蝇小馆，推荐台山黄鳝饭，五味鸭，顶我上去[打call][打call][打call][打call][打call][打call][打call][打call][打call][打call]…","进入实体精筛表"
"又甜又","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","133733408480","建议来吃无锡的三凤桥酱排骨和菜猪油馅鸿运大包，酱排骨排骨咸甜鲜香，菜猪油的包子刚出炉没多久就先被抢光了，又甜又好吃[脱单doge]","优先平台检索"
"又甜又鲜确实","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196124525904","我又想起来我在无锡吃汤包了，又甜又鲜确实好吃，就是偏贵一点","优先平台检索"
"又咸又甜的排骨再","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","229502726880","按理说不是第一天吃了，为什么还是干吃菜不吃饭，又咸又甜的排骨再好吃也顶不住空口吃啊，是怕饭吃多了容易饱吗","优先平台检索"
"又有性价比又","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","246005174529","推荐在江大附中路口的阿林面馆 又有性价比又好吃 之前上学就在外面吃了就去上学","优先平台检索"
"鱼干也很","1","1","无锡市","江阴市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1L1421Z7Zz","217134418912","一、关于吃的内容，包括各种美食的口味和特点，以及一些关于吃饭的建议和推荐。其中涉及到的美食种类较多，描述较为详细。 00:01 - 外脆里糯的香气逼人，肉馅的香味，鲜嫩的河鳗 00:18 - 白菜香喷雾一样，回鱼汤好喝，价格贵但好吃 04:…","优先平台检索"
"渔夫岛渤公岛走走","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV14M4y187sh","162763063952","喜欢自然风光可以去渔夫岛渤公岛走走，市里面太湖广场旁边的友好园很小但是挺精致的，我经常去那里。推荐[呲牙]","优先平台检索"
"渔家灯火","1","1","无锡市","江阴市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1L1421Z7Zz","217008291552","他们家主要就是江鲜很不错 值得推荐 渔家灯火","优先平台检索"
"玉兰饼才是最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","6","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257320330992","玉兰饼才是最好吃的！","优先平台检索"
"玉兰饼超","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","215396939648","我感觉有些店为了展示特色特意做得很甜？？我觉得玉兰饼超好吃超好吃 小笼包也好吃 就真的在我知道无锡菜甜的出名之前我吃无锡菜一点甜的感觉都没有的","优先平台检索"
"玉兰饼超级","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1QT421C7iV","220390782448","玉兰饼超级好吃的[星星眼]","优先平台检索"
"玉兰饼超级超级超级","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134915048496","无锡的甜是咸甜，很鲜的那种。不是很腻的【那种大哭】强烈推荐玉兰饼超级超级超级好吃！虽然油比较大但就是很好吃！拌馄饨也好吃荠菜馅甜酱油真的很绝！","优先平台检索"
"玉兰饼确实","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1QT421C7iV","221298311248","你去的地方总觉得认识，无锡玉兰饼确实好吃，咸甜鲜的","优先平台检索"
"玉兰饼我觉得也","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245669818256","玉兰饼我觉得也好吃","优先平台检索"
"玉兰饼真的超","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1QT421C7iV","223186918736","玉兰饼真的超好吃[大哭]有机会我一定要去无锡吃正宗的，还有他和苏州的油汆团子不一样","优先平台检索"
"玉兰饼真的很","1","1","","","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1otyHYuE1S","245245808096","玉兰饼真的很好吃，这个甜度我能接受，小笼包也还行，比较鲜甜，但我吃不了开阳馄炖[笑哭]，多吃几口会犯恶心的程度","优先平台检索"
"预制菜有","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245415608433","预制菜有好吃的，但是再好吃成本也比现做便宜，就不该卖这么贵","优先平台检索"
"预制菜只是做不到特别","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245800236944","我觉得7-11里预制的微波炉加热便当挺好吃的，预制菜只是做不到特别好吃而已","优先平台检索"
"元宝鸭真的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132702499088","回复：元宝鸭真的好吃","优先平台检索"
"园园包子的肉包不是很","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","308942212432","回复：园园包子的肉包不是很好吃吗，我感觉比街边的什么早餐店的还有巴比青露鸿运大包好吃多了😋，也不甜吧","优先平台检索"
"园园包子铺超","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134473620480","园园包子铺超好吃😋","优先平台检索"
"园园包子真的比鸿运","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132587693664","园园包子真的比鸿运好吃，还便宜","优先平台检索"
"原来冷的买回去再蒸也很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256359968673","对的，原来冷的买回去再蒸也很好吃。我爸原来出差都要带2竹篓回来，还有油面筋。我爸是3岁无锡来上海的，所以家里吃口就偏甜。家里原来乡下还有房子。","优先平台检索"
"圆圆包子的菜包子","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","265435920897","圆圆包子的菜包子好吃","优先平台检索"
"圆圆包子和梅花糕","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132726061216","强推圆圆包子和梅花糕。第三个没吃过不评价。毛华感觉没以前好吃了","优先平台检索"
"圆盅","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245910839344","回复：惠龙新村，民干路上，特地走一趟犯不上，主打面在我心中前十都没有，菜饭能进前五，因为卖菜饭比较少，浇头就一般靠上水准，圆盅好吃，梅花糕好吃。","优先平台检索"
"越吃越","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1QT421C7iV","223017459104","这玩意第一口贼难下咽，又咸又甜又油，我跟我老公买完一边吃一边后悔…结果出了无锡，高速堵车，没别的吃的，只能吃这个，越吃越好吃。[笑哭]","优先平台检索"
"越靠近无锡的越","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256767017137","回复：去武进区啊[doge_金箍]，越靠近无锡的越好吃，就是太甜了","优先平台检索"
"越甜越","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","199004825808","还有拌馄饨，越甜越好吃[脱单doge]","优先平台检索"
"云蝠店的","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1F8Nu6GEo3","309775147104","可以试试云蝠店的","优先平台检索"
"云南尝尝","1","1","","","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130172794080","喜欢吃面包就饮料的话，可以去云南尝尝“泡鲁达”哦[偷笑]一种饮品+甜品吧算是","优先平台检索"
"在江大附中路口的阿林面馆","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","246005174529","推荐在江大附中路口的阿林面馆 又有性价比又好吃 之前上学就在外面吃了就去上学","优先平台检索"
"在江阴都没怎么吃过","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296961306048","兄弟们推荐点无锡的好吃的店，自助，烤肉都行，在江阴都没怎么吃过好吃的[大哭]","优先平台检索"
"在老菜场的毛华","1","1","","","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1KbygBJELh","282864491328","还是在老菜场的毛华好吃，那种软的金黄的刚出锅的玉兰饼，吃过就忘不了。现在菜场拆了，毛华搬出来以后就没有那么好吃了，玉兰饼说实话也是预制的。太可惜了。","优先平台检索"
"在南京读书四年汤包没发现","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","198477299216","在南京读书四年汤包没发现好吃的，对外地人来说都太甜了，不过鸭血粉丝汤蛮好","优先平台检索"
"在无锡三十年了都没啥","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","272667964209","无锡妥妥的美食荒漠啊，在无锡三十年了都没啥好吃的","优先平台检索"
"在无锡时间长了反而觉得挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257157626592","在无锡时间长了反而觉得挺好吃的😂","优先平台检索"
"在无锡这么久确实没什么","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257901918977","回复：因为吃不起，在无锡这么久确实没什么好吃的[汤圆]","优先平台检索"
"早面","1","1","无锡市","无锡市","1","0","0","0","明确重复到店行为","0","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","273264284561","回复：东林门口哇，上学经常去吃早面","优先平台检索"
"炸爆鱼也","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1otyHYuE1S","245233566800","三凤桥去买了吗？炸爆鱼也好吃的，包子b吃恒隆后面那家，个人感觉正宗[吃瓜]风雷小哥炸串也好吃[打call]","优先平台检索"
"炸串也是有点糖","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","213314183424","回复：烧烤甜的不是很正常吗，东北烧烤那个酱都会加糖，炸串也是有点糖好吃很多","优先平台检索"
"炸的酥酥脆脆超级","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195883831648","猪油渣才是最好吃的！！！炸的酥酥脆脆超级好吃，包馄饨里也是一绝","优先平台检索"
"炸花生米糖盐一起加特","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195626506928","炸花生米糖盐一起加特好吃","优先平台检索"
"炸鸡味道","1","1","","","1","0","0","0","明确正向用餐体验","11","推荐／店名句式","B-存在明确推荐","BV1Ur421V7ZD","216932968256","我就住在文化宫附近，这家炸鸡味道确实不错，但是感觉自助还是适合饭量真的无敌的人，我平常这家吃个20多左右的炸鸡就基本撑了，而且我是男的饭量也不算少[笑哭]","优先平台检索"
"沾醋吃超","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195576353600","我超爱梁溪脆鳝，沾醋吃超好吃。","优先平台检索"
"沾点辣椒油更","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","199200291216","沾点辣椒油更好吃","优先平台检索"
"蘸白糖嘎嘎","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195894710832","看到这里推荐个吃法[脱单doge]，清汤火锅番茄锅涮五花肉，蘸白糖嘎嘎好吃","优先平台检索"
"蘸拖鞋都","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245661842385","回复：是的 [呲牙]那个蘸料，蘸拖鞋都好吃。 方庙那家没什么人去吃，一两个月之前我还去吃了次，后面好像关门了，我朋友想去吃没开门","优先平台检索"
"长春观素菜馆","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","201604492336","下次回武汉！我推荐长春观素菜馆[doge]","优先平台检索"
"长春确实没啥","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195809124848","回复：长春确实没啥好吃的美食荒漠","优先平台检索"
"长大了觉得老","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257300594384","菜猪油小时候不喜欢吃，长大了觉得老好吃了，真香。","优先平台检索"
"找到了一份特别","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197642015328","只能说口味不一样，我一个温州那边的朋友跟我说，找到了一份特别好吃的土豆红烧肉，然后我去吃了，然后我头一次没有吃完菜，因为我很不喜欢剩饭，但是那个土豆红烧肉是甜口的，我接受不了，只能说各地口味都不一样。PS，我是湖南的，比较喜欢吃辣","优先平台检索"
"找福将拉面","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","5","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296862796272","本地菜最基础保险的选择是老牛窝里，最好去他们家老店，体验本地常吃的早面菜饭一类可以去鸡鸭鹅大饭店、丰鼎鸡汤面馆、春笋面馆，南禅寺小吃街现在很同质化了我是不太推荐去的，可以试试海棠糕和梅花糕，就是要注意可能真的很甜顶不住，还想找些小吃可以去稻…","优先平台检索"
"找了一个月没找到一家","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245521766161","回复：我回无锡，找了一个月没找到一家好吃的小笼","优先平台检索"
"找三姐做一下推拿吗","1","1","","","1","0","0","0","明确到店或菜品推荐","4","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","305581690673","可以去找三姐做一下推拿吗 [doge][doge][doge]","优先平台检索"
"这边菜场里面很多","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","140815279952","回复： 是的是的就是那边 这边菜场里面很多好吃的","优先平台检索"
"这边的糖醋排骨是真的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195557302640","其实主要是咸甜口 甜多一点 无锡这边的糖醋排骨是真的好吃 那是真的甜[tv_doge]","优先平台检索"
"这边的洗面","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130177063456","细面无敌！吃过好多种面，还是这边的洗面好吃😋","优先平台检索"
"这菜饭看着就","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","246317191392","这菜饭看着就好吃","优先平台检索"
"这炒饭一看就","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245689281361","这炒饭一看就好吃呀","优先平台检索"
"这东西一看就","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245564385841","就这么几个菜，卖90块钱，后面又要了俩卖18，这东西一看就好吃[喜欢] 不过老唐为什么要在我上课的时候给我放毒[大哭]","优先平台检索"
"这顿能","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245843458256","这顿能好吃，我吃💩","优先平台检索"
"这几个都","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245858480800","回复：这几个都好吃，特别喜欢吃。","优先平台检索"
"这价位很难找到更","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","297524751984","回复：只说味道是不错的，这价位很难找到更好吃的了，不过你得能接受和不认识的人拼桌","优先平台检索"
"这里的鸡公煲特别","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","199535109520","这里的鸡公煲特别好吃","优先平台检索"
"这两个其实最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","272802212529","回复：三凤桥的酱排骨，梅汁鸡翅（甜口的，你可以先点几个尝尝）。 老陆稿荐罐头装的辣肉酱 不知道这个季节有没有羊糕，羊糕也蛮好吃的。 而且这个不是甜口。 属于是羊肉版的带肉焖子。 直接吃，蘸辣酱吃，或者放热饭上融化吃，浇一勺汤吃都很爽。 然后…","优先平台检索"
"这两个真的超级","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","220161986992","回复：这两个真的超级好吃！以后有时间一定要重返故居，再去品尝一下那里的美食 ，还有我以前的学校[笑哭]","优先平台检索"
"这么","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","299485031377","你竟然敢对梅花糕哈气？这么好吃的东西你嫌甜？你怎么敢的！","优先平台检索"
"这期一点儿没看出来东西","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","297133654816","不知道为啥，这期一点儿没看出来东西好吃。","优先平台检索"
"这食物看起来很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245836061041","这食物看起来很好吃 [呲牙][呲牙][惊喜]","优先平台检索"
"这世上居然还有这么","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","4","门店后缀／推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256348980945","亲戚在无锡呆了好多年，有一年带了当地的小笼包回来，半成品，在家蒸完之后惊到了，这世上居然还有这么好吃的小笼包，太好吃了，塑封的无锡酱排骨也是都太好吃了，可能我骨子里就是个南方人爱吃甜的","优先平台检索"
"这视频里面的混沌看着太","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","201273700112","回复：不是，这视频里面的混沌看着太好吃了，我感觉我平时吃的混沌看着没这么有食欲[笑哭][笑哭]","优先平台检索"
"这是哪家店感觉很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","287638475584","这是哪家店感觉很好吃也想来吃","优先平台检索"
"这是真","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","306232484705","回复：这是真好吃啊","优先平台检索"
"这是真的会","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","204391427344","白糖拌馄炖……这是真的会好吃的吗","优先平台检索"
"这甜口混沌绝对","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","201304156784","这甜口混沌绝对好吃，虽然我是四川人，但我吃抄手也要加糖","优先平台检索"
"这玩意不是又贵又","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","294345842593","为啥所有人都要抵制炸货？这玩意不是又贵又好吃吗？到底为啥都嫌亏","优先平台检索"
"这玩意的确","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296852815024","这玩意的确好吃，但是吃多了特别腻，特别是肥的第一口不要太香啊，第二口就腻住了","优先平台检索"
"这玩意儿非常的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","259114141392","无锡人，但是没有那么纯，无锡话仅限于会一些常用句子和外婆讲话的时候勉强够用，平时更多用的还是普通话，然后我那边的吃食也没有专门研究过，我来说一下我的感受，无锡菜其实真的属于非常甜的那一类，无锡的小笼包我觉得甜度对我来说刚刚好，不会让我感受到…","优先平台检索"
"这小吃拼盘看着挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","8","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296004240673","这小吃拼盘看着挺好吃的…烤肠🥹🥹🥹但是三位数吃烤肠这对吗…","优先平台检索"
"这些","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245899338672","回复：星光的白桦林，火锅鸡，重庆火锅，这些好吃的。没米的时候去大悦城吃9.9的米村拌饭，无线续大米饭和泡菜[鸡腿][鸡腿][鸡腿]","优先平台检索"
"这些菜看着很家常但真的很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1o9XdYZEFp","256873023136","这些菜看着很家常但真的很好吃啊，流口水了我","优先平台检索"
"这样才最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257098765280","而且无锡小笼要吃刚蒸出来的，这样才最好吃，那温度没人可以一口吞，嘴不要啦[笑哭]","优先平台检索"
"这样做法的拌小馄饨其实挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245852848016","回复：他说的是拌馄饨，这样做法的拌小馄饨其实挺好吃的，当然，多了也会腻，至于汤馄饨都一样的","优先平台检索"
"真没啥","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","274092514512","网红店不建议去，无锡真没啥好吃的，我在这个城市30多年了，外地人来了吃不惯的","优先平台检索"
"真要","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","272755243457","我真觉得这家店还有老牛窝里，味道真不如家里烧的[笑哭]不过以旅游角度来看还凑活吧，真要好吃的无锡菜还是得贵一点的大饭店","优先平台检索"
"真有那么","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","246782904017","离我家店五米，真有那么好吃吗[tv_白眼]","优先平台检索"
"真有人觉得现在的老牛窝里","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245979556000","真有人觉得现在的老牛窝里好吃么，现在无锡真正符合食品安全的馆子真不多了","优先平台检索"
"镇江醋也是","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","251502230849","回复：不是说无锡产的醋，是我在无锡吃过的醋[捂脸]，镇江醋也是好吃的，不知道为啥我在无锡吃的和在镇江吃的味道不同","优先平台检索"
"镇江没什么","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257090692032","镇江没什么好吃的小笼包","优先平台检索"
"整个江苏都没啥","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132922478016","整个江苏都没啥好吃的[滑稽]","优先平台检索"
